LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. γ rate
,,,,,,,,,(frame),(frame),(frame),(µm),(µm),(µm),(µm),(µm/frame),(µm/frame),(µm/frame),(µm/frame),(µm/frame),(quality),(µm),(µm),,(µm/frame),,(rad/frame)
Track_1658,19,19,80,1,0,0,0,1,80.0,0.0,80.0,6.837530800680318,274.822851034003,151.12295318786244,0.0,1.0743582524896422,11.897586279635545,0.06849970267452488,0.6259858079487571,1.736443293882396,3539.2625,85.18745698771507,13.055052112421258,0.08026452534750934,0.08546913500850398,0.07955366360377818,1.3896930200869047
Track_1659,20,20,37,0,0,0,0,0,36.0,0.0,36.0,2.8072208646541905,857.3148897821712,598.8901294763205,0.0,0.7574921358288615,2.4768198728753856,0.03209878844249485,0.3942972657860251,0.7743046851984153,1147.2432432432433,27.26971688983902,5.7533223685201325,0.10294279460232278,0.0779783573515053,0.10294279460232279,1.6761320210315027
Track_1660,21,21,98,0,0,0,0,0,97.0,0.0,97.0,2.0329860761119924,440.39010725651025,20.718917797135205,0.0,0.23625376546884833,0.9127266749827951,7.4238061526724E-4,0.176758342406705,0.20479631347675162,4036.8571428571427,22.91661525047829,2.400918914761789,0.08871231872121962,0.020958619341360746,0.08871231872121964,1.9983487542738143
Track_1661,22,22,98,0,0,0,0,0,97.0,0.0,97.0,41.11124740470113,86.61221087390767,418.1874610713692,0.0,1.022840016769729,5.675692032950917,0.05042847008360053,0.740636411861322,0.9256259220294019,5254.622448979592,99.21548162666375,41.11124740470113,0.41436322971648665,0.4238272928319704,0.4143632297164868,1.6740546548813995
Track_1662,23,23,44,4,0,0,0,1,47.0,0.0,47.0,12.59239968928026,222.29201570545635,152.1357368888482,0.0,0.999186193883332,3.245491175407097,0.05094499240207328,0.7475035464601161,0.7699228326427792,1310.909090909091,45.66863212737535,12.919312858952896,0.2757341111982187,0.2679233976442609,0.26814161292899574,1.5901194466862625
Track_1663,24,24,98,0,0,0,0,0,97.0,0.0,97.0,16.231454276556953,37.57985579993579,228.6373634445861,0.0,0.6751531780920221,6.074386729522875,0.0339817507328098,0.3586157352284852,0.8410335697002916,4504.724489795918,65.4898582749261,16.6992779374108,0.24784683772588706,0.16733458017069022,0.2478468377258869,1.5526500930092002
Track_1664,25,25,98,0,0,0,0,0,97.0,0.0,97.0,3.004263825286239,88.97631610563265,26.131934330641325,0.0,0.453419950444933,1.797043819119638,0.0068716924109599046,0.36652276822107877,0.30687378831720036,1272.6122448979593,43.981735193158514,4.1386146448270855,0.0683070782017159,0.030971792013260193,0.06830707820171592,1.78641054258783
Track_1665,26,26,98,0,0,0,0,0,97.0,0.0,97.0,1.4524302046831084,387.95925098681204,161.94361935007814,0.0,0.49863927289113835,3.2090088962384833,0.032987664170624466,0.3406389498922553,0.5435459143615634,2202.530612244898,48.368009470440406,3.7681783092018253,0.030028736360770556,0.014973507264774312,0.030028736360770546,1.879370196785674
Track_1666,27,27,30,0,0,0,0,0,29.0,0.0,29.0,11.956250385328172,496.41116133168237,604.1698214587267,0.0,1.0729114167899656,4.1256290033311425,0.08172078923028842,0.9188806162040346,0.9077341059927404,2638.8333333333335,31.114431086909,13.67676464643138,0.3842670416158954,0.41228449604579903,0.3842670416158954,1.4616121751971003
Track_1667,28,28,46,0,0,0,0,0,45.0,0.0,45.0,8.339153702324055,208.02621090224935,141.84296965809128,0.0,1.3055402590595744,3.926979323039001,0.17335481947280781,1.0859197902582893,0.8542594289871293,3220.217391304348,58.749311657680835,9.448743936580902,0.14194470483185315,0.18531452671831233,0.14194470483185312,1.5026560298492988
