"","X.1","ID","Track","Slice","X","Y","Distance","Velocity","PixelValue","TrackNumber"
"1277",329,333,"Tail After",153,706.476,585.453,0,0,-10260111,225
"1278",330,334,"Tail After",154,706.476,585.453,0,0,-10325654,225
"1279",331,335,"Tail After",155,705.459,585.453,1.017,0.678,-10719129,225
"1280",332,336,"Tail After",156,705.459,585.453,0,0,-9930896,225
"1281",333,337,"Tail After",157,705.459,585.453,0,0,-10062228,225
"1282",334,338,"Tail After",158,705.459,585.453,0,0,-10128012,225
"1283",335,339,"Tail After",159,705.459,585.453,0,0,-9602699,225
"1284",336,340,"Tail After",160,705.459,586.131,0.678,0.452,-10917537,225
"1285",337,341,"Tail After",161,705.459,586.131,0,0,-10786201,225
"1286",338,342,"Tail After",162,705.459,585.453,0.678,0.452,-10522004,225
"1287",339,343,"Tail After",163,705.459,585.453,0,0,-10128538,225
"1288",340,344,"Tail After",164,705.459,585.453,0,0,-10390166,225
"1289",341,345,"Tail After",165,705.459,585.453,0,0,-9536904,225
"1290",342,346,"Tail After",166,705.459,585.453,0,0,-10195095,225
"1291",343,347,"Tail After",167,705.459,585.453,0,0,-10588313,225
"1292",344,348,"Tail After",168,705.459,585.453,0,0,-9866382,225
"1293",345,349,"Tail After",169,705.459,585.453,0,0,-10194318,225
"1294",346,350,"Tail After",170,705.459,585.453,0,0,-10394014,225
"1295",347,351,"Tail After",171,705.459,585.453,0,0,-10262169,225
"1296",348,352,"Tail After",172,705.459,585.453,0,0,-10589075,225
"1297",349,353,"Tail After",173,705.459,585.453,0,0,-10063758,225
"1298",350,354,"Tail After",174,705.459,585.453,0,0,-10327960,225
"1299",351,355,"Tail After",175,705.459,585.453,0,0,-10722453,225
"1300",352,356,"Tail After",176,705.459,585.453,0,0,-11117730,225
"1301",353,357,"Tail After",177,705.459,585.453,0,0,-10789277,225
"1302",354,358,"Tail After",178,705.459,585.453,0,0,-10133914,225
"1303",355,359,"Tail After",179,705.459,585.453,0,0,-11117462,225
"1304",356,360,"Tail After",180,705.459,585.453,0,0,-10196628,225
"1555",251,256,"Tail After",103,339,379.341,7.435,4.957,-12172450,311
"1556",252,257,"Tail After",104,344.424,377.307,5.793,3.862,-12564900,311
"1557",253,258,"Tail After",105,344.424,386.46,9.153,6.102,-14271917,311
"1558",254,259,"Tail After",106,341.712,387.138,2.795,1.864,-9861241,311
"1559",255,260,"Tail After",107,339,389.172,3.39,2.26,-12494241,311
"1560",256,261,"Tail After",108,343.068,387.816,4.288,2.859,-10789016,311
"1561",257,262,"Tail After",109,343.746,389.172,1.516,1.011,-12298145,311
"1562",258,263,"Tail After",110,343.746,390.867,1.695,1.13,-11122842,311
"1563",259,264,"Tail After",111,344.424,389.172,1.826,1.217,-8881270,311
"1564",260,265,"Tail After",112,343.746,389.172,0.678,0.452,-10395788,311
"1565",261,266,"Tail After",113,343.746,389.172,0,0,-12106904,311
"1566",262,267,"Tail After",114,343.746,390.189,1.017,0.678,-11574680,311
"1567",263,268,"Tail After",115,344.424,388.494,1.826,1.217,-11846816,311
"1568",264,269,"Tail After",116,344.424,387.138,1.356,0.904,-11110027,311
"1569",265,270,"Tail After",117,339.678,387.138,4.746,3.164,-10653841,311
"1570",266,271,"Tail After",118,340.356,386.46,0.959,0.639,-11114129,311
"1571",267,272,"Tail After",119,341.712,389.172,3.032,2.021,-10978443,311
"1572",268,273,"Tail After",120,342.39,391.545,2.468,1.645,-10454419,311
"1573",269,274,"Tail After",121,343.068,390.867,0.959,0.639,-11836320,311
"1574",270,275,"Tail After",122,339.678,391.545,3.457,2.305,-10450304,311
"1575",271,276,"Tail After",123,341.034,390.867,1.516,1.011,-11968155,311
"1576",272,277,"Tail After",124,341.034,389.172,1.695,1.13,-11700111,311
"1577",273,278,"Tail After",125,341.034,389.172,0,0,-13350839,311
"1578",274,279,"Tail After",126,342.39,388.494,1.516,1.011,-12625323,311
"1579",275,280,"Tail After",127,341.712,390.867,2.468,1.645,-9145204,311
"1580",276,281,"Tail After",128,341.034,391.545,0.959,0.639,-11183754,311
"1581",277,282,"Tail After",129,340.356,392.223,0.959,0.639,-11047811,311
"1582",278,283,"Tail After",130,341.034,392.223,0.678,0.452,-11056273,311
"1583",279,284,"Tail After",131,341.712,391.545,0.959,0.639,-11506325,311
"1584",280,285,"Tail After",132,343.068,390.189,1.918,1.278,-11906455,311
"1585",281,286,"Tail After",133,342.39,391.545,1.516,1.011,-10584964,311
"1586",282,287,"Tail After",134,343.746,391.545,1.356,0.904,-11711648,311
"1587",283,288,"Tail After",135,342.39,392.901,1.918,1.278,-10064255,311
"1588",284,289,"Tail After",136,343.068,391.545,1.516,1.011,-9274243,311
"1589",285,290,"Tail After",137,343.068,391.545,0,0,-9141627,311
"1590",286,291,"Tail After",138,344.424,388.494,3.339,2.226,-10521740,311
"1591",287,292,"Tail After",139,344.424,388.494,0,0,-11440535,311
"1592",288,293,"Tail After",140,340.356,390.189,4.407,2.938,-8950135,311
"1593",289,294,"Tail After",141,342.39,389.172,2.274,1.516,-11383706,311
"1594",290,295,"Tail After",142,342.39,387.816,1.356,0.904,-11113350,311
"1595",291,296,"Tail After",143,342.39,387.138,0.678,0.452,-11054993,311
"1596",292,297,"Tail After",144,341.034,388.494,1.918,1.278,-9732484,311
"1597",293,298,"Tail After",145,343.068,387.816,2.144,1.429,-10129541,311
"1598",294,299,"Tail After",146,343.068,389.172,1.356,0.904,-11580813,311
"1599",295,300,"Tail After",147,342.39,390.189,1.222,0.815,-10594206,311
"1600",296,301,"Tail After",148,341.712,390.189,0.678,0.452,-10915217,311
"1601",297,302,"Tail After",149,342.39,390.189,0.678,0.452,-10914960,311
"1602",298,303,"Tail After",150,342.39,389.172,1.017,0.678,-11308949,311
"1603",299,304,"Tail After",151,341.712,389.172,0.678,0.452,-11241364,311
"1604",300,305,"Tail After",152,341.034,390.189,1.222,0.815,-12027028,311
